scientific_name,latitude,longitude,url,image_url,observed_on,phenology,year,month
Yucca jaegeriana,36.1326065,-115.4243374,https://www.inaturalist.org/observations/35398001,https://inaturalist-open-data.s3.amazonaws.com/photos/55813531/medium.jpg,2011-12-03,No Evidence of Flowering,2011,12
Yucca brevifolia,34.0280152401,-116.1445011415,https://www.inaturalist.org/observations/21087056,https://inaturalist-open-data.s3.amazonaws.com/photos/32573430/medium.jpg,2011-04-17,No Evidence of Flowering,2011,4
Yucca jaegeriana,35.6391149114,-115.7552830984,https://www.inaturalist.org/observations/18766837,https://static.inaturalist.org/photos/28739964/medium.jpeg,2011-11-23,No Evidence of Flowering,2011,11
Yucca brevifolia,34.4461079,-117.8522857,https://www.inaturalist.org/observations/10519984,https://static.inaturalist.org/photos/14640365/medium.jpg,2011-02-18,No Evidence of Flowering,2011,2
Yucca jaegeriana,35.5252588,-115.5891664,https://www.inaturalist.org/observations/7926132,https://static.inaturalist.org/photos/10462270/medium.jpg,2011-06-14,No Evidence of Flowering,2011,6
Yucca jaegeriana,35.5252588,-115.5891664,https://www.inaturalist.org/observations/7926127,https://static.inaturalist.org/photos/10462255/medium.jpg,2011-06-14,No Evidence of Flowering,2011,6
Yucca brevifolia,33.9726142883,-116.1656417847,http://www.inaturalist.org/observations/27236,https://static.inaturalist.org/photos/48848/medium.jpg,2011-08-04,No Evidence of Flowering,2011,8
Yucca brevifolia,34.9148889,-118.5539284,https://www.inaturalist.org/observations/18769620,https://static.inaturalist.org/photos/28745041/medium.jpeg,2012-02-20,Flower Budding,2012,2
Yucca jaegeriana,34.187971,-113.049198,https://www.inaturalist.org/observations/44791754,https://inaturalist-open-data.s3.amazonaws.com/photos/71007169/medium.jpeg,2012-04-08,Flowering,2012,4
Yucca brevifolia,34.9148889,-118.5539284,https://www.inaturalist.org/observations/18769620,https://static.inaturalist.org/photos/28745041/medium.jpeg,2012-02-20,Flowering,2012,2
Yucca brevifolia,34.023356,-116.126508,http://www.inaturalist.org/observations/1754510,https://static.inaturalist.org/photos/2130015/medium.jpg,2012-04-04,Flowering,2012,4
Yucca brevifolia,34.0724624743,-116.3926326269,https://www.inaturalist.org/observations/35766070,https://inaturalist-open-data.s3.amazonaws.com/photos/56437406/medium.jpg,2012-05-02,Fruiting,2012,5
Yucca brevifolia,34.0724624743,-116.3926326269,https://www.inaturalist.org/observations/35764638,https://inaturalist-open-data.s3.amazonaws.com/photos/56435004/medium.jpg,2012-05-03,Fruiting,2012,5
Yucca jaegeriana,35.1743681332,-115.5025707348,https://www.inaturalist.org/observations/255404683,https://inaturalist-open-data.s3.amazonaws.com/photos/457699857/medium.jpeg,2012-05-05,No Evidence of Flowering,2012,5
Yucca brevifolia,34.0931708223,-116.1562611405,https://www.inaturalist.org/observations/153309532,https://inaturalist-open-data.s3.amazonaws.com/photos/264776091/medium.jpeg,2012-08-20,No Evidence of Flowering,2012,8
Yucca brevifolia,36.3265391943,-117.6586153671,https://www.inaturalist.org/observations/101400974,https://inaturalist-open-data.s3.amazonaws.com/photos/169342461/medium.jpeg,2012-01-05,No Evidence of Flowering,2012,1
Yucca brevifolia,34.073023,-116.237464,https://www.inaturalist.org/observations/100957021,https://inaturalist-open-data.s3.amazonaws.com/photos/168550634/medium.jpeg,2012-06-27,No Evidence of Flowering,2012,6
Yucca jaegeriana,36.402824,-115.12498,https://www.inaturalist.org/observations/67487145,https://inaturalist-open-data.s3.amazonaws.com/photos/109046610/medium.jpg,2012-03-23,No Evidence of Flowering,2012,3
Yucca jaegeriana,36.419944,-115.142223,https://www.inaturalist.org/observations/67487033,https://inaturalist-open-data.s3.amazonaws.com/photos/109046338/medium.jpg,2012-03-23,No Evidence of Flowering,2012,3
Yucca brevifolia,33.9994882026,-116.1455142607,https://www.inaturalist.org/observations/48346683,https://inaturalist-open-data.s3.amazonaws.com/photos/76706635/medium.jpeg,2012-12-31,No Evidence of Flowering,2012,12
Yucca jaegeriana,34.257253,-113.086002,https://www.inaturalist.org/observations/44799442,https://inaturalist-open-data.s3.amazonaws.com/photos/71019957/medium.jpeg,2012-04-08,No Evidence of Flowering,2012,4
Yucca jaegeriana,34.237527,-113.074259,https://www.inaturalist.org/observations/44798946,https://inaturalist-open-data.s3.amazonaws.com/photos/71019252/medium.jpeg,2012-04-08,No Evidence of Flowering,2012,4
Yucca brevifolia,34.0301018725,-116.144299246,https://www.inaturalist.org/observations/38224779,https://inaturalist-open-data.s3.amazonaws.com/photos/60719009/medium.jpeg,2012-01-03,No Evidence of Flowering,2012,1
Yucca brevifolia,33.9993385528,-116.1455000924,https://www.inaturalist.org/observations/37726290,https://inaturalist-open-data.s3.amazonaws.com/photos/59864879/medium.jpeg,2012-12-31,No Evidence of Flowering,2012,12
Yucca jaegeriana,35.3665547867,-115.5882171976,https://www.inaturalist.org/observations/36959292,https://inaturalist-open-data.s3.amazonaws.com/photos/58509264/medium.jpeg,2012-04-28,No Evidence of Flowering,2012,4
Yucca brevifolia,35.3650059,-117.983019,https://www.inaturalist.org/observations/36658275,https://static.inaturalist.org/photos/57969123/medium.jpeg,2012-05-01,No Evidence of Flowering,2012,5
Yucca brevifolia,35.3650059,-117.983019,https://www.inaturalist.org/observations/36658271,https://static.inaturalist.org/photos/57968959/medium.jpeg,2012-04-30,No Evidence of Flowering,2012,4
Yucca brevifolia,35.3650059,-117.983019,https://www.inaturalist.org/observations/36658257,https://static.inaturalist.org/photos/57962406/medium.jpeg,2012-04-30,No Evidence of Flowering,2012,4
Yucca brevifolia,33.99783,-116.0594212,https://www.inaturalist.org/observations/29946072,https://inaturalist-open-data.s3.amazonaws.com/photos/46762836/medium.jpeg,2012-05-25,No Evidence of Flowering,2012,5
Yucca brevifolia,33.99783,-116.0594212,https://www.inaturalist.org/observations/29946071,https://inaturalist-open-data.s3.amazonaws.com/photos/46762826/medium.jpeg,2012-05-25,No Evidence of Flowering,2012,5
Yucca brevifolia,36.4828048563,-117.6189735073,https://www.inaturalist.org/observations/26411718,https://inaturalist-open-data.s3.amazonaws.com/photos/41008130/medium.jpg,2012-05-27,No Evidence of Flowering,2012,5
